type,amount,address
cpgf,30.1369863,tnam1qyac9kyffah40tta7xvdlhet5zcc04s46gqfl2ge
cpgf,30.1369863,tnam1qy07wl9ds2kl4cfew0426jv4qlzx7kh9pqft7ltr
cpgf,30.1369863,tnam1q8plan3j4na87g7s8kxu3659gra8ye30evdjrxea
cpgf,30.1369863,tnam1qymaj7ac574c56t8x58mgwl20ztxaeh22ctcpcdy
cpgf,30.1369863,tnam1q92xh4k7acxegvlgm3nfgg584f3hx0xalgxyjrh8
cpgf,30.1369863,tnam1qyzcm6jay6u624050fucq3uhfe2r9k8e7qhn65l5
cpgf,30.1369863,tnam1q9zvl5nzd2np5mdgfa2lzccaey4xln55ku3mdlws
cpgf,30.1369863,tnam1q8d0rndpkyx8599wzcasphsqd3st5q3nsyxj7y9j
cpgf,30.1369863,tnam1q9mgfvqqypw82jk997kzgkkgnf8fxur2qqpa7rlr
cpgf,30.1369863,tnam1qx7xenrcve38c8lmcmewpk42df6pchlyjg34d3lq
cpgf,30.1369863,tnam1qx2wu0ymzdgk25uvqez0vuzu8fzz29rlhu6hvju8
cpgf,30.1369863,tnam1qxfcew76uclxuf5a5qkhwdtt8m6enc58tsqnwupd
cpgf,30.1369863,tnam1q9mnn2qkg3fzuw8hzwgnuxa42rvdjhkn5s065aa3
cpgf,30.1369863,tnam1qyx7d7vm30tgf3fj4awa60syk9rhcjv8uulhkpq5
cpgf,30.1369863,tnam1q9nskn4mvwldzzket2swep6dvxuamgq7ac73qkvt
cpgf,30.1369863,tnam1q8mqm9s984ldqclk6qn4x3jd5t03vhjp9s60thf3
cpgf,30.1369863,tnam1q8la36mtjlfn6vyn7q7klzx6evn98xdjvc92mhfw
cpgf,30.1369863,tnam1q80ajrpqzv0vz9sl5ye22rprjt3k3q0cqy4lwywe
cpgf,30.1369863,tnam1q9cfj43flxq0tlh4vlaymjcea9g5mm2qhqls99ky
cpgf,30.1369863,tnam1q9862p53waknqh6vxxvz7ymwlqlrx5qqqcqxgeeg
cpgf,30.1369863,tnam1qyx8wdefdg9sd6e22xq8ccyqg5peaersvcm20843
cpgf,30.1369863,tnam1qxtfny8cngyyf0ms2fl6rcu65lt0da0ns5a3gxrq
cpgf,30.1369863,tnam1q9e2ya0n6d3gaujx5n52qu6clxn4gdqnvshx7uxp
cpgf,30.1369863,tnam1qxd6n2pfj6jucqnx2tf3feuevkqmr266gg06yurm
cpgf,30.1369863,tnam1qxuv9e6rx0stfz7e842q4uwmpcexh50765qqw9ns
cpgf,30.1369863,tnam1qyfmtehvnrrcwtjueygvvqrwy43dtw3r9uwe5tf7
cpgf,30.1369863,tnam1q82gtcy6cpf26zd0pp82ped9phwn523azvy8h3s5
cpgf,30.1369863,tnam1qy7u3y3sqltmd68a43lsr0khu8c9y8uyyuzy7sck
cpgf,30.1369863,tnam1qx635ya9l2yz3ua92kckrad4v2p59madpspm9dtg
cpgf,30.1369863,tnam1q985emxj29hpz3dlye0yfe5hm66pmwqalu0y06p4
cpgf,30.1369863,tnam1q8munsehazrlgm65g7dpu0c2qfnxxg93tu0c6nm6
cpgf,30.1369863,tnam1qysxqwyeldesm2cdfhkr86jky5vj5vu8cu9jjqtw
cpgf,30.1369863,tnam1qyg69x0fvth8tl8z7ylxdppq4hud7755cg0z55n3
cpgf,30.1369863,tnam1qxyx90jvjew6ng5tgpfgfhwrt4g4atg7kq9u7wly
cpgf,30.1369863,tnam1q9tf86cusctv2c679ssflsrq0ymd9qxnluuewvt8
cpgf,30.1369863,tnam1q8lzhgzezqew6z20wy64gw6q64vkv84k45ygue6v
cpgf,30.1369863,tnam1q8pdrz6p2h8z9m9x9drf3d4r5sqkhw6epv2shrjy
cpgf,30.1369863,tnam1qyxp2w0e006nwr3ln9gxcvpnypcx40857ytfgyyt
cpgf,30.1369863,tnam1q9fxma4kqfrgn8ul4fdaexgavlhug746wcvra4f8
cpgf,30.1369863,tnam1q9krl9ltzmwj6m4q60ugnmrz3uwnm450ayt42h7v
cpgf,30.1369863,tnam1qxdqsqnrf97vnyf5w2ur3fa0f3wxclxapy2lxy4s
cpgf,30.1369863,tnam1q9g3p7ekdzpcq95uk9rmazwsldf0mqyj6cqry8je
cpgf,30.1369863,tnam1q8z0n6zfgu5766f8wv0mku4v3ms7c5cql5lkjs0p
cpgf,30.1369863,tnam1qxr5duqjc3fm7y73d40fjk2s9f9mpfd25uy5evfr
cpgf,30.1369863,tnam1qysez03jadg5uann2vpr3tdap3ahyfl2hv0kg085
cpgf,30.1369863,tnam1qxlahm9qqxqhyjezsxvrpkn9ajekrkg2xq5v8rz8
cpgf,30.1369863,tnam1q9446mq8ack40w965p7ry6p84fv3kyewxqhknhd0
cpgf,30.1369863,tnam1q9ys6rx7h9d20a5gq0dewx6uze6k2trxayt90zf3
cpgf,30.1369863,tnam1q8a4rqcrpuw5fxygf468xc24pvptt683rgut9q6r
cpgf,30.1369863,tnam1qyv8mdrlfj0sz5n5jtrym2sswp3qgdc9gcytaw0l
cpgf,30.1369863,tnam1q87g9w8rss89czgsyu2t7acued2dxvtgqscn5s0q
cpgf,30.1369863,tnam1qyd9xx4cw4knl4accyp2epnrfk6fgc3kgqxrzndv
cpgf,30.1369863,tnam1q93hdce5a8lh9cyj0fx9wr4v9vj3dqaytc27wz9v
cpgf,30.1369863,tnam1qygqvlhg8geap9he6tjgs284paa6anxm05an68wd
cpgf,30.1369863,tnam1q8aagr43emu5q8vxef4d4t66mzcz60yz553n75ts
cpgf,30.1369863,tnam1q9jc8p57xg077q06p0dr2g5w4smx5zzlcqjpj997
cpgf,30.1369863,tnam1qxlvltzvggz2zwpfnugt0rlnltyy35qumqucveyl
cpgf,30.1369863,tnam1q9n3ncfxevwgs8f2vna2lnw7kz567jrutgw57xqs
cpgf,30.1369863,tnam1q9rzmgclz9lgys34cmfe3wfry25nhlasayxzuk3c
cpgf,30.1369863,tnam1qxp569pkgds6kzqfe9cuc65mupjwamtghc433m82
